Date,AALI.JK,ACES.JK,ADHI.JK,ADRO.JK,AKRA.JK,ANTM.JK,ASII.JK,ASRI.JK,BBCA.JK,BBKP.JK,BBNI.JK,BBRI.JK,BBTN.JK,BDMN.JK,BHIT.JK,BISI.JK,BJBR.JK,BKSL.JK,BLTA.JK,BMRI.JK,BMTR.JK,BNBR.JK,BRPT.JK,BSDE.JK,BTEL.JK,BUMI.JK,BWPT.JK,CPIN.JK,CTRA.JK,DEWA.JK,DOID.JK,ELSA.JK,ELTY.JK,ENRG.JK,ERAA.JK,EXCL.JK,GGRM.JK,GIAA.JK,GJTL.JK,HEXA.JK,HMSP.JK,HRUM.JK,ICBP.JK,IMAS.JK,INCO.JK,INDF.JK,INDY.JK,INKP.JK,INTA.JK,INTP.JK,ISAT.JK,ITMG.JK,JPFA.JK,JSMR.JK,KIJA.JK,KLBF.JK,KRAS.JK,LPKR.JK,LPPF.JK,LSIP.JK,MAIN.JK,MAPI.JK,MEDC.JK,MIRA.JK,MLPL.JK,MNCN.JK,MPPA.JK,MYRX.JK,PGAS.JK,PTBA.JK,PWON.JK,SCMA.JK,SGRO.JK,SIMP.JK,SMCB.JK,SMGR.JK,SMRA.JK,SSIA.JK,TAXI.JK,TBIG.JK,TINS.JK,TKIM.JK,TLKM.JK,TOWR.JK,TPIA.JK,TRAM.JK,UNSP.JK,UNTR.JK,UNVR.JK,VIVA.JK,WIKA.JK,WSKT.JK
2021-03-22,9355.208984375,1389.3675537109375,1117.095458984375,799.54541015625,572.7404174804688,2281.14404296875,4738.40380859375,236.0,5899.8642578125,348.1875,2696.8095703125,3599.339599609375,1504.9146728515625,2591.558349609375,55.0,1069.2598876953125,1148.2052001953125,55.994930267333984,50.0,2683.87060546875,278.0,3800.0,932.5757446289062,1190.0,50.0,65.0,121.0,6495.17236328125,1110.4130859375,50.0,414.529052734375,319.5627746582031,50.0,113.0,491.8047790527344,1988.415283203125,30011.5234375,315.4172058105469,878.2894897460938,2089.392578125,1059.1292724609375,980.980712890625,8513.4599609375,1183.1983642578125,4574.58935546875,5986.0361328125,1392.88427734375,11497.1865234375,144.0,11646.1123046875,5431.640625,6577.77099609375,1717.162353515625,4089.599853515625,180.0,1490.0511474609375,630.0,199.0,1038.106201171875,1230.6923828125,1525.0,761.3462524414062,552.522216796875,50.0,104.0,1022.6934814453125,234.0,50.0,1139.9241943359375,1569.6973876953125,552.4825439453125,327.3052673339844,1497.007080078125,479.4866027832031,1646.82861328125,10120.171875,953.0315551757812,505.0,50.0,1946.74267578125,1621.1287841796875,11762.9482421875,3075.7890625,1028.3541259765625,2693.696533203125,50.0,120.0,15615.3876953125,5982.185546875,53.0,1615.0,1350.0
2021-03-29,8942.796875,1416.610107421875,1025.5302734375,773.3307495117188,543.9338989257812,2102.783203125,4526.8681640625,216.0,5725.12158203125,374.5869445800781,2529.65185546875,3271.433837890625,1407.0340576171875,2441.19482421875,54.0,1029.1627197265625,1140.7491455078125,55.994930267333984,50.0,2678.263916015625,260.0,3800.0,932.5757446289062,1120.0,50.0,60.0,116.0,6589.6474609375,1095.991943359375,50.0,372.3085021972656,300.4584655761719,50.0,104.0,453.2142639160156,1978.94677734375,30198.576171875,304.4142761230469,868.4210205078125,2065.716552734375,1055.2779541015625,935.7047119140625,8373.1279296875,1055.0184326171875,4379.09423828125,5963.8662109375,1274.9912109375,10418.5595703125,160.0,11133.9501953125,5368.72607421875,6308.18994140625,1838.85107421875,4040.68115234375,175.0,1461.759033203125,620.0,196.0,1023.2228393554688,1185.93994140625,1525.0,741.4417724609375,520.8201904296875,50.0,112.0,924.3576049804688,298.0,50.0,1102.2060546875,1540.6287841796875,528.036376953125,322.56170654296875,1501.2965087890625,474.83135986328125,1637.3094482421875,9526.212890625,877.1683349609375,484.0,50.0,1937.29248046875,1468.279541015625,10700.3291015625,2987.65771484375,1023.7008666992188,2749.300048828125,50.0,115.0,15811.4736328125,6004.84521484375,52.0,1535.0,1130.0
2021-04-05,8855.9736328125,1366.66552734375,1020.9519653320312,789.7149658203125,547.3230590820312,2196.657470703125,4463.4072265625,218.0,5702.12939453125,374.5869445800781,2674.521728515625,3317.188232421875,1415.1907958984375,2458.884521484375,56.0,1046.983642578125,1192.9403076171875,55.994930267333984,50.0,2797.05810546875,266.0,3800.0,976.984130859375,1185.0,50.0,62.0,117.0,6542.4091796875,1105.6060791015625,50.0,362.7129211425781,296.9849548339844,50.0,112.0,453.2142639160156,2045.2274169921875,31632.642578125,311.74957275390625,898.0263061523438,2095.3115234375,1055.2779541015625,999.8458862304688,8302.962890625,1084.598388671875,4515.94140625,5853.01318359375,1296.8232421875,9879.24609375,156.0,11089.4150390625,5557.47021484375,6672.1240234375,1947.0186767578125,4177.6533203125,178.0,1461.759033203125,660.0,202.0,1138.5679931640625,1181.464599609375,1525.0,796.1790771484375,547.9933471679688,50.0,172.0,953.8583984375,585.0,50.0,1106.39697265625,1476.6783447265625,523.1471557617188,329.20269775390625,1501.2965087890625,479.4866027832031,1718.222900390625,9480.5234375,910.3584594726562,505.0,50.0,1993.9935302734375,1459.015869140625,10477.9208984375,2961.21826171875,1028.3541259765625,2730.765625,50.0,118.0,16203.6396484375,5868.88671875,69.0,1470.0,1050.0
2021-04-12,8638.916015625,1375.746337890625,975.1693725585938,776.6075439453125,530.3779296875,2243.594482421875,4442.25341796875,206.0,5852.00390625,348.1875,2672.607177734375,3389.379150390625,1288.7615966796875,2317.365966796875,55.0,1024.7073974609375,1110.9256591796875,55.994930267333984,50.0,2721.4619140625,262.0,3800.0,962.1813354492188,1140.0,50.0,61.0,113.0,7298.21142578125,1105.6060791015625,50.0,349.27911376953125,293.5114440917969,50.0,107.0,574.3705444335938,1903.1976318359375,30260.92578125,304.4142761230469,883.2236938476562,2059.797607421875,1024.4669189453125,930.045166015625,8373.1279296875,1064.87841796875,4252.02197265625,5941.6953125,1244.42626953125,9732.1591796875,170.0,11601.576171875,5473.583984375,6429.5009765625,1992.08837890625,4070.032470703125,173.0,1409.89013671875,635.0,197.0,1179.4969482421875,1168.0390625,1525.0,791.2030029296875,520.8201904296875,50.0,161.0,914.5239868164062,705.0,50.0,984.8609619140625,1383.6590576171875,493.8117980957031,318.7668762207031,1501.2965087890625,465.5209655761719,1693.647705078125,9912.1474609375,891.3927001953125,474.0,50.0,2398.75927734375,1449.7523193359375,10255.5126953125,2961.21826171875,1056.273193359375,2638.092529296875,50.0,116.0,15740.169921875,5732.927734375,70.0,1390.0,1015.0
2021-04-19,8183.09326171875,1343.96337890625,1011.7954711914062,786.4381103515625,550.7119140625,2193.711181640625,4759.55810546875,202.0,5959.251953125,341.0525207519531,2594.001220703125,3319.091796875,1329.545166015625,2326.2109375,53.0,1006.8864135742188,1165.5396728515625,55.994930267333984,50.0,2656.665283203125,272.0,3800.0,917.7730102539062,1145.0,50.0,65.0,117.0,7156.49853515625,1076.76416015625,50.0,345.4408874511719,296.9849548339844,50.0,110.0,547.4468994140625,1931.6033935546875,29969.95703125,297.0790100097656,898.0263061523438,2059.797607421875,1005.2100219726562,913.066650390625,8302.962890625,1069.80859375,4056.527099609375,5986.0361328125,1235.6934814453125,8996.732421875,161.0,11401.1650390625,5431.640625,6601.6787109375,1956.03271484375,3991.762451171875,173.0,1414.60546875,630.0,214.0,1462.278564453125,1176.9893798828125,1525.0,826.0358276367188,547.9933471679688,50.0,186.0,953.8583984375,860.0,50.0,1030.9608154296875,1432.9832763671875,503.59027099609375,289.3568420410156,1574.2166748046875,521.3834838867188,1650.220947265625,9679.46875,934.0657348632812,462.0,50.0,2485.11474609375,1463.647705078125,9637.7099609375,2917.152587890625,1037.660400390625,2539.241455078125,50.0,113.0,15401.48046875,5506.330078125,64.0,1410.0,1070.0
2021-04-26,8229.15234375,1343.96337890625,1057.5780029296875,815.929443359375,554.1008911132812,2354.457275390625,4653.7900390625,198.0,5973.2412109375,336.7715148925781,2560.31298828125,3162.8994140625,1296.91845703125,2299.676025390625,54.0,1029.1627197265625,1102.10888671875,55.994930267333984,50.0,2667.46484375,268.0,3800.0,986.8526611328125,1175.0,50.0,63.0,115.0,6660.50341796875,1095.991943359375,50.0,353.1173400878906,309.14227294921875,50.0,112.0,547.4468994140625,1978.94677734375,30011.5234375,297.0790100097656,893.0921020507812,2077.5546875,1016.7642211914062,971.5482788085938,8139.2421875,1109.2484130859375,4506.166015625,5786.501953125,1240.0599365234375,8923.189453125,165.0,11445.7021484375,5515.52685546875,6492.333984375,1901.9488525390625,4060.24853515625,178.0,1358.0213623046875,630.0,214.0,1339.49169921875,1168.0390625,1525.0,796.1790771484375,606.8687133789062,50.0,218.0,963.6919555664062,860.0,50.0,1026.77001953125,1420.9918212890625,518.2579345703125,298.84393310546875,1621.4002685546875,535.34912109375,1751.5501708984375,9702.736328125,919.8414306640625,450.0,50.0,2677.015380859375,1602.6015625,9860.1181640625,2820.2080078125,1060.926513671875,2489.815673828125,50.0,113.0,15427.1357421875,5438.3505859375,60.0,1440.0,1110.0
2021-05-03,8582.1455078125,1343.96337890625,1066.734619140625,776.6075439453125,549.0174560546875,2477.380859375,4505.71484375,191.0,5968.57763671875,326.78253173828125,2515.395263671875,3162.8994140625,1317.31005859375,2246.606689453125,52.0,1024.7073974609375,1117.966552734375,55.994930267333984,50.0,2570.26953125,266.0,3800.0,917.7730102539062,1175.0,50.0,63.0,116.0,6235.36474609375,1067.150146484375,50.0,355.0364685058594,296.9849548339844,50.0,110.0,533.985107421875,1922.1348876953125,29159.396484375,293.4113464355469,883.2236938476562,2065.716552734375,993.6558837890625,971.5482788085938,7905.35595703125,1035.2984619140625,4985.12939453125,5764.3310546875,1270.624755859375,9070.2744140625,163.0,10911.2724609375,5200.95361328125,6656.3515625,1919.299560546875,3933.06005859375,198.0,1376.8826904296875,640.0,208.0,1268.7965087890625,1203.8408203125,1525.0,751.39404296875,624.984130859375,50.0,214.0,889.9400634765625,785.0,50.0,1030.9608154296875,1367.030029296875,498.7010498046875,280.81842041015625,1629.9791259765625,526.0386962890625,1683.997314453125,9121.037109375,877.1683349609375,460.0,50.0,2427.54443359375,1672.07861328125,9983.6787109375,2811.394775390625,1060.926513671875,2317.776123046875,50.0,114.0,15846.0537109375,5007.81494140625,61.0,1440.0,1070.0
2021-05-10,8957.201171875,1343.96337890625,1030.1085205078125,827.0127563476562,545.62841796875,2524.658935546875,4492.15771484375,192.0,6043.18505859375,322.50152587890625,2481.706787109375,3116.041748046875,1329.545166015625,2273.1416015625,52.0,1024.7073974609375,1110.0377197265625,55.994930267333984,50.0,2548.670654296875,266.0,3800.0,912.8386840820312,1190.0,50.0,63.0,118.0,6306.22119140625,1120.0269775390625,50.0,360.7938232421875,291.7746887207031,50.0,106.0,533.985107421875,1942.55908203125,29138.611328125,297.0790100097656,883.2236938476562,2071.635498046875,1001.358642578125,1155.482177734375,7975.52197265625,1025.4384765625,5424.994140625,5830.8427734375,1288.09033203125,9903.759765625,154.0,11089.4150390625,5096.095703125,7039.056640625,1845.83349609375,3981.978759765625,208.0,1362.7366943359375,635.0,199.0,1287.4005126953125,1239.642822265625,1525.0,766.3223876953125,652.1574096679688,50.0,226.0,909.6072387695312,855.0,50.0,1018.3881225585938,1367.030029296875,508.4794921875,273.2287292480469,1642.847412109375,526.0386962890625,1688.822509765625,9237.376953125,881.9097900390625,458.0,50.0,2513.89990234375,1685.973876953125,11071.0107421875,2802.58154296875,1102.80517578125,2162.844482421875,50.0,117.0,15627.48828125,5098.4541015625,61.0,1445.0,1080.0
2021-05-17,8295.3388671875,1307.64013671875,879.0259399414062,806.2508544921875,541.0166625976562,2203.166748046875,4341.70263671875,168.0,5931.2744140625,285.39959716796875,2391.871337890625,3037.9453125,1268.3697509765625,2161.974609375,52.0,1024.7073974609375,1078.322265625,55.994930267333984,50.0,2516.2724609375,264.0,3800.0,888.1674194335938,1130.0,50.0,60.0,109.0,5951.939453125,1028.6942138671875,50.0,347.3599853515625,262.2498779296875,50.0,103.0,529.4978637695312,2154.125,27372.005859375,289.74371337890625,848.6842041015625,2077.5546875,962.8449096679688,962.11572265625,7788.41259765625,956.4185791015625,4607.54736328125,5631.30810546875,1161.4644775390625,8383.8759765625,160.0,10532.716796875,5536.49853515625,6957.04833984375,1772.36767578125,3786.30419921875,194.0,1386.3134765625,610.0,164.0,1309.7254638671875,1163.5638427734375,1525.0,706.6089477539062,629.5131225585938,50.0,406.0,934.191162109375,1100.0,50.0,926.1884155273438,1289.08544921875,493.8117980957031,276.07489013671875,1629.9791259765625,498.107421875,1640.5703125,8772.0185546875,853.4610595703125,440.0,50.0,2360.37939453125,1454.384033203125,9415.3017578125,2881.89990234375,1121.4178466796875,1976.9266357421875,50.0,112.0,15791.4150390625,5053.134765625,57.0,1235.0,945.0
2021-05-24,7743.787109375,1353.0443115234375,897.3389282226562,809.711181640625,561.8250122070312,2326.09033203125,4427.677734375,179.0,5912.623046875,286.82659912109375,2335.723876953125,3178.518798828125,1296.91845703125,2099.1787109375,58.0,1024.7073974609375,1098.14453125,55.994930267333984,50.0,2505.472900390625,274.0,3800.0,881.0264892578125,1115.0,50.0,60.0,104.0,6329.84033203125,1023.8872680664062,50.0,337.764404296875,262.2498779296875,50.0,104.0,529.4978637695312,2269.5244140625,27351.220703125,249.399658203125,863.48681640625,2130.8251953125,982.101806640625,971.5482788085938,7601.3037109375,931.7686157226562,4617.41357421875,5520.45556640625,1113.43408203125,8212.2763671875,166.0,10621.7890625,5242.89697265625,7093.7294921875,1864.2000732421875,3796.087890625,185.0,1358.0213623046875,625.0,152.0,1291.121337890625,1065.1083984375,1525.0,686.7044677734375,615.9264526367188,50.0,470.0,924.3576049804688,1060.0,50.0,947.1429443359375,1313.068359375,486.9669189453125,298.84393310546875,1587.0849609375,484.1418151855469,1640.5703125,8981.4306640625,858.2025146484375,424.0,50.0,2293.2138671875,1459.015869140625,8822.2119140625,2881.89990234375,1093.498779296875,1877.7705078125,50.0,108.0,15900.697265625,5234.4130859375,55.0,1205.0,1025.0
